Iata, gate, timezone, latitude, longitude
BOJ, 2, UTC+02:00, 42.56959915, 27.51519966
SOF, 3, UTC+02:00, 42.69669342, 23.41143608
PRG, 1, UTC+01:00, 50.1008,     14.26
KLV, 2, UTC+01:00, 50.20299911, 12.91499996
KZG, 1, UTC+01:00, 49.743099,   10.200
ZQW, 2, UTC+01:00, 49.2094,     7.4005
AAL, 1, UTC+01:00, 57.09275891, 9.849243164
SKS, 2, UTC+01:00, 55.221048,   9.26702
AGP, 3, UTC+01:00, 36.67490005, -4.499110222
LIL, 4, UTC+01:00, 50.563332,    3.086886
FAB, 2, UTC+00:00, 51.2757988,   -0.776332974
DOC, 1, UTC+00:00, 57.868999,   -4.023
OKI, 1, UTC+09:00, 36.18109894, 133.3249969
ALA, 2,UTC+06:00, 43.35210037, 77.04049683
VKO, 3, UTC+03:00, 55.59149933, 37.26150131
VNO, 1,UTC+02:00, 54.6380,25.2866
AMS,2, UTC+01:00 ,52.3105, 4.7683
